,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2024-05-01 07:29:59.999,1714527000000,60298.11000000,60408.29000000,60023.20000000,60133.78000000,707.85167000,1714528799999,42644920.16134890,26827,305.08702000,18381486.37353880,0
2024-05-01 07:59:59.999,1714528800000,60133.79000000,60177.68000000,59590.00000000,59742.32000000,1505.21742000,1714530599999,89971481.85870260,44442,519.36820000,31047931.94647960,0
2024-05-01 08:29:59.999,1714530600000,59742.31000000,59978.00000000,59661.10000000,59927.99000000,591.72820000,1714532399999,35400644.36952360,22546,299.94593000,17945468.96721360,0
2024-05-01 08:59:59.999,1714532400000,59927.99000000,60121.16000000,59903.17000000,60008.14000000,395.66143000,1714534199999,23755937.09600950,17473,189.07682000,11350855.49149000,0
2024-05-01 09:29:59.999,1714534200000,60008.13000000,60317.88000000,60000.00000000,60246.03000000,449.23976000,1714535999999,27037285.97211610,16831,231.41325000,13924698.11610110,0
2024-05-01 09:59:59.999,1714536000000,60246.02000000,60361.09000000,60190.00000000,60208.08000000,478.10083000,1714537799999,28820045.86154320,16401,214.54346000,12934174.16170370,0
2024-05-01 10:29:59.999,1714537800000,60208.08000000,60333.87000000,60194.00000000,60283.99000000,359.59118000,1714539599999,21673423.82135370,14589,184.77982000,11136808.46070680,0
2024-05-01 10:59:59.999,1714539600000,60283.99000000,60334.76000000,60002.95000000,60027.78000000,429.64685000,1714541399999,25849033.35569170,19922,160.29095000,9642715.10584880,0
2024-05-01 11:29:59.999,1714541400000,60027.77000000,60250.00000000,59931.59000000,60050.00000000,461.35789000,1714543199999,27704281.02860630,21429,209.25118000,12567135.98653900,0
2024-05-01 11:59:59.999,1714543200000,60049.99000000,60113.24000000,59720.45000000,59731.65000000,490.57513000,1714544999999,29395606.17366330,23926,203.50004000,12193645.65296910,0
2024-05-01 12:29:59.999,1714545000000,59731.65000000,59858.11000000,59500.55000000,59529.94000000,856.53800000,1714546799999,51134582.37768110,32220,389.40930000,23248445.21616520,0
2024-05-01 12:59:59.999,1714546800000,59529.94000000,59569.23000000,57501.00000000,57993.88000000,7058.37515000,1714548599999,412397385.05154200,201894,2799.06105000,163473024.52297360,0
2024-05-01 13:29:59.999,1714548600000,57993.87000000,58161.10000000,57100.00000000,57499.99000000,5603.43542000,1714550399999,322735405.43451090,138280,2611.06536000,150417254.05953270,0
2024-05-01 13:59:59.999,1714550400000,57500.00000000,57596.63000000,56552.82000000,57019.97000000,7406.22658000,1714552199999,422651471.75502440,155428,3524.66225000,201211703.05761420,0
2024-05-01 14:29:59.999,1714552200000,57019.98000000,57174.11000000,56801.10000000,57169.69000000,3111.11701000,1714553999999,177376148.76258940,73164,1536.76866000,87615446.16633400,0
2024-05-01 14:59:59.999,1714554000000,57169.70000000,57653.34000000,57042.00000000,57422.31000000,2192.67596000,1714555799999,125720546.99954350,60945,1148.09979000,65827598.34190430,0
2024-05-01 15:29:59.999,1714555800000,57422.31000000,57473.94000000,57115.61000000,57115.61000000,1319.01542000,1714557599999,75565813.28527320,38706,597.89088000,34257210.50485260,0
2024-05-01 15:59:59.999,1714557600000,57115.61000000,57525.71000000,56888.00000000,57438.81000000,1696.60601000,1714559399999,96968193.85315180,53670,882.38964000,50442647.61838970,0
2024-05-01 16:29:59.999,1714559400000,57438.81000000,57770.00000000,57333.00000000,57768.68000000,960.24610000,1714561199999,55286987.13099860,36684,551.93834000,31783732.42477760,0
2024-05-01 16:59:59.999,1714561200000,57768.68000000,57863.00000000,57500.55000000,57582.00000000,1098.25482000,1714562999999,63346979.17624420,37536,537.73760000,31025512.25720420,0
2024-05-01 17:29:59.999,1714563000000,57581.99000000,57909.00000000,57455.58000000,57898.47000000,822.41950000,1714564799999,47435701.65727020,34327,426.71889000,24624293.56874980,0
2024-05-01 17:59:59.999,1714564800000,57898.46000000,58250.00000000,57729.89000000,58061.08000000,1793.96462000,1714566599999,104116298.66602520,51230,886.39871000,51441417.31476040,0
2024-05-01 18:29:59.999,1714566600000,58061.08000000,58275.87000000,57816.10000000,57969.98000000,1336.93199000,1714568399999,77678362.76982840,39823,640.85587000,37250865.59036560,0
2024-05-01 18:59:59.999,1714568400000,57969.99000000,57999.06000000,57666.00000000,57703.12000000,891.64062000,1714570199999,51519677.24391750,34477,421.05596000,24327087.37166520,0
2024-05-01 19:29:59.999,1714570200000,57703.12000000,57761.10000000,57223.29000000,57301.29000000,1811.38588000,1714571999999,104091713.02505990,60810,843.53593000,48469713.16433230,0
2024-05-01 19:59:59.999,1714572000000,57301.29000000,57550.00000000,57101.10000000,57436.72000000,1553.90305000,1714573799999,89073352.94008510,52779,835.33751000,47888314.06497440,0
2024-05-01 20:29:59.999,1714573800000,57436.71000000,57586.20000000,57221.99000000,57482.00000000,1037.92551000,1714575599999,59604241.46719820,37802,549.75030000,31571095.67211610,0
2024-05-01 20:59:59.999,1714575600000,57482.01000000,57511.10000000,56674.51000000,57096.01000000,2240.00634000,1714577399999,127719776.64935670,61622,952.33744000,54308410.86378500,0
2024-05-01 21:29:59.999,1714577400000,57096.00000000,57149.99000000,56748.42000000,56886.00000000,1020.98978000,1714579199999,58159580.92261610,36835,522.54188000,29773770.04642010,0
2024-05-01 21:59:59.999,1714579200000,56886.00000000,57430.00000000,56750.10000000,57352.20000000,1567.62215000,1714580999999,89470012.42017610,43086,972.89697000,55524489.31882830,0
2024-05-01 22:29:59.999,1714581000000,57352.21000000,57456.92000000,56912.00000000,57043.99000000,713.62618000,1714582799999,40759540.11016370,32913,309.54537000,17679955.76991270,0
2024-05-01 22:59:59.999,1714582800000,57044.00000000,57252.74000000,56625.09000000,57184.74000000,987.77952000,1714584599999,56241226.45088540,40159,479.95709000,27339273.59562190,0
